date,METHANE
17:43:45.500,00051
17:43:46.000,00065
17:43:46.500,00027
17:43:47.000,00028
17:43:47.500,00037
17:43:48.000,00048
17:43:48.500,00065
17:43:49.000,00050
17:43:49.500,00017
17:43:50.000,00020
17:43:50.500,00019
17:43:51.000,00029
17:43:51.500,00080
17:43:52.000,00055
17:43:52.500,00021
17:43:53.000,00014
17:43:53.500,00028
17:43:54.000,00091
17:43:54.500,00077
17:43:55.000,00018
17:43:55.500,00016
17:43:56.000,00016
17:43:56.500,00020
17:43:57.000,00038
17:43:57.500,00045
17:43:58.000,00019
17:43:58.500,00006
17:43:59.000,00009
17:43:59.500,00020
17:44:00.000,00028
17:44:00.500,00037
17:44:01.000,00034
17:44:01.500,00105
17:44:02.000,00138
17:44:02.500,00035
17:44:03.000,00019
17:44:03.500,00016
17:44:04.000,00013
17:44:04.500,00058
17:44:05.000,00108
17:44:05.500,00012
17:44:06.000,00002
17:44:06.500,00023
17:44:07.000,00030
17:44:07.500,00051
17:44:08.000,00053
17:44:08.500,00017
17:44:09.000,00002
17:44:09.500,00014
17:44:10.000,00032
17:44:10.500,00031
17:44:11.000,00093
17:44:11.500,00031
17:44:12.000,00019
17:44:12.500,00028
17:44:13.000,00404
17:44:13.500,00958
17:44:14.000,00967
17:44:14.500,00148
17:44:15.000,00021
17:44:15.500,00016
17:44:16.000,00525
17:44:16.500,00876
17:44:17.000,00192
17:44:17.500,00019
17:44:18.000,00019
17:44:18.500,00073
17:44:19.000,00697
17:44:19.500,00547
17:44:20.000,00269
17:44:20.500,00035
17:44:21.000,00011
17:44:21.500,00041
17:44:22.000,00224
17:44:22.500,00233
17:44:23.000,00041
17:44:23.500,00013
17:44:24.000,00012
17:44:24.500,00011
17:44:25.000,00104
17:44:25.500,00066
17:44:26.000,00029
17:44:26.500,00012
17:44:27.000,00009
17:44:27.500,00007
17:44:28.000,00011
17:44:28.500,00060
17:44:29.000,00014
17:44:29.500,00009
17:44:30.000,00011
17:44:30.500,00014
17:44:31.000,00009
17:44:31.500,00016
17:44:32.000,00040
17:44:32.500,00028
17:44:33.000,00010
17:44:33.500,00014
17:44:34.000,00026
17:44:34.500,00027
17:44:35.000,00017
17:44:35.500,00028
17:44:36.000,00023
17:44:36.500,00023
17:44:37.000,00014
17:44:37.500,00015
17:44:38.000,00015
17:44:38.500,00017
17:44:39.000,00009
17:44:39.500,00021
17:44:40.000,00007
17:44:40.500,00007
17:44:41.000,00015
17:44:41.500,00019
17:44:42.000,00026
17:44:42.500,00009
17:44:43.000,00004
17:44:43.500,00008
17:44:44.000,00016
17:44:44.500,00012
17:44:45.000,00023
17:44:45.500,00018
17:44:46.000,00019
17:44:46.500,00018
17:44:47.000,00035
17:44:47.500,00036
17:44:48.000,00030
17:44:48.500,00020
17:44:49.000,00015
17:44:49.500,00025
17:44:50.000,00020
17:44:50.500,00014
17:44:51.000,00023
17:44:51.500,00023
17:44:52.000,00010
17:44:52.500,00007
17:44:53.000,00006
17:44:53.500,00012
17:44:54.000,00012
17:44:54.500,00010
17:44:55.000,00012
17:44:55.500,00013
17:44:56.000,00013
17:44:56.500,00013
17:44:57.000,00009
17:44:57.500,00011
17:44:58.000,00015
17:44:58.500,00013
17:44:59.000,00019
17:44:59.500,00047
17:45:00.000,00021
17:45:00.500,00021
17:45:01.000,00004
17:45:01.500,00015
17:45:02.000,00018
17:45:02.500,00014
17:45:03.000,00005
17:45:03.500,00011
17:45:04.000,00009
17:45:04.500,00011
17:45:05.000,00024
17:45:05.500,00038
17:45:06.000,00026
17:45:06.500,00029
